ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2,founder_name_3,founder_linkedin_3
https://www.ycombinator.com/companies/jitter,jitter,Figma for motion design,"Collaborative motion design tool that runs in the browser (like Figma, for motion graphics). It enables any designer to produce typographic effects for videos, animated illustrations for websites, and interface animations for apps, while collaborating effectively with marketing and product teams.",https://jitter.video,2020,2,"Paris, France",Etienne Albert,https://www.linkedin.com/in/etiennealbert/,NA,NA,NA,NA
https://www.ycombinator.com/companies/cron,Cron,Next-gen calendar for professionals and teams,"Cron is the next-gen calendar app for professionals and teams, making modern work more efficient and joyful. Our mission is to help spend time wisely through well-crafted software that streamlines workflows, integrates other productivity tools, and builds collaboration right into the core experience. In everything we do at Cron, we believe that time is our most precious resource. ",https://cron.app,2019,3,San Francisco,Raphael Schaad,www.linkedin.com/in/raphaelschaad,NA,NA,NA,NA
https://www.ycombinator.com/companies/posthog,PostHog,"Open source product analytics, self-hosted or in the cloud.","Open source product analytics stack - everything from pipelines, to trends, retention, cohorts, user histories, through to session recordings, heatmaps, and feature flags. We have a lively plugin marketplace too, so we're easy to build on top of.

You can use our cloud version or we can deploy in a VPS on your infrastructure.",https://www.posthog.com,2020,15,San Francisco,James Hawkins,https://www.linkedin.com/in/j-hawkins/,Tim Glaser,https://www.linkedin.com/in/timgl/,NA,NA
https://www.ycombinator.com/companies/onetool,onetool,"App-Store for SaaS: one invoice, one user management, one login.","Onetool provides businesses with their own app-store for business software. One login, one invoice, and centralized user management. Onetool offers everything from project management software and video conferencing to document signing.
",https://onetool.co/,2019,9,"Berlin, Germany",Tobias Becker,https://www.linkedin.com/in/beckertobi/,NA,NA,NA,NA
https://www.ycombinator.com/companies/todesktop,ToDesktop,All-in-one platform for building & releasing desktop apps,"ToDesktop is an all-in-one platform for building and releasing desktop apps. We save companies months of development time by handling code signing, auto-updates, and native installers for Windows, Mac and Linux.",https://www.todesktop.com,,2,"Cork, Ireland",Dave Jeffery,https://www.linkedin.com/in/davejeffery/,NA,NA,NA,NA
https://www.ycombinator.com/companies/dropbase,Dropbase,"Turn CSV/Excel files into live databases and REST APIs, instantly","Dropbase helps you turn CSV, Excel, and Google Sheets into live databases and REST APIs with a few clicks. With Dropbase, data analysts and biz ops teams can easily import data from files or databases, apply simple processing steps, and export their data directly production databases or as endpoints. ",https://dropbase.io,2019,2,San Francisco,Jimmy Chan,https://www.linkedin.com/in/jimmyechan/,Ayazhan Zhakhan,https://www.linkedin.com/in/zhakhan/,NA,NA
https://www.ycombinator.com/companies/alloy-automation,Alloy Automation,Use Alloy to automate your ecommerce store ✨,Alloy Automation is a no-code tool for ecommerce brands to set up automated workflows that eliminate the time-intensive tasks associated w running their stores. We have customers ranging from the Baltimore Ravens to D2C brands like Lick Home who use us to automate all sorts of operational tasks.,https://runalloy.com/,,6,San Francisco,Sara Du,https://www.linkedin.com/in/saradu,Gregg Mojica,https://www.linkedin.com/in/greggmojica/,NA,NA
https://www.ycombinator.com/companies/release,Release,Environments as a service,Release delivers staging environments as a service. With Release a staging environment is automatically generated with every Pull Request which removes the bottleneck most companies have when they only have a single staging environment. ,https://releasehub.com,2019,4,,David Giffin,https://www.linkedin.com/in/david-giffin-5190846/,NA,NA,NA,NA
https://www.ycombinator.com/companies/epihub,Epihub,Epihub is Shopify for anyone teaching online 👩‍💻👨‍💻,"Epihub offers educators an all-in-one platform for scheduling, billing, and teaching online. Epihub blends eight products together, including a webpage builder and website embed, CRM, custom intake forms, scheduler for appointments, virtual event management, virtual classroom, payment processing for invoices and credits, plus paystubs and progress reports.",https://epihub.com,2020,6,New York,Michael MacKay,https://www.linkedin.com/in/michael-mackay-16346454,Kwasi Oppong-Badu,https://www.linkedin.com/in/kwasi-oppong-badu-638965144/,Uday Singh,NA
https://www.ycombinator.com/companies/welcome,Welcome,Create jaw dropping virtual events,Welcome lets you create virtual events that feel like an Apple Keynote.,http://www.experiencewelcome.com,2020,40,San Francisco,Roberto Ortiz,https://www.linkedin.com/in/robertoortizux,NA,NA,NA,NA
